Rank,Command,Code (Hex),Time
0,forward,A0DB703,3
1,backward,A0EB803,3
2,sideright,A0ABC03,3
3,sideleft,A09BB03,4
4,fleft,A0FB903,4
5,fright,A08BA03,3
6,bleft,A0CBD03,3
7,bright,A0DBE03,3
8,fclockwise,A0EBF03,4
9,fcounter,A0FC003,4
10,bclockwise,A08C103,3
11,bcounter,A09C203,3
12,headleft,A0DD707,3
13,headright,A0BD70C,3
14,leanforward,A0CD706,3
15,leanback,A0FD701,5
16,lpunch,A0E1300,6
17,r12,A0A1700,9
18,lchop,A0D1900,7
19,sidechopl,A0A1E00,7
20,combopunch,A091D00,17
21,rpunch,A0F1400,5
22,rchop,A0E1A00,7
23,l12,A0C1800,7
24,sidechopr,A0B1F00,7
25,lbackhand,A081500,4
26,doublechop,A0F1B00,7
27,doublebackhand,A0E2100,7
28,slapping,A0D2000,9
29,rbackhand,A091600,5
30,upperchop,A081C00,7
31,roundhousel,A0F2200,7
32,roundhouser,A082300,6
33,forwardkickl,A092400,9
34,forwardkickr,A0A2500,8
35,sidekickl,A0B2600,7
36,roundhouselr,A0A2C00,11
37,forwardkicklr,A0B2D00,9
38,combokick,A0C2E00,18
39,sidekickr,A0C2700,7
40,backkickl,A0E2800,8
41,backkickr,A0F2900,9
42,highkickl,A0D2F00,7
43,worry,A0A5D00,12
44,pain1,A0F6100,7
45,highkickr,A0F3000,9
46,splits1,A083100,18
47,pain2,A096300,11
48,beg1,A0E6000,15
49,beg2,A0D6E00,33
50,merry,A087000,12
51,hilarious,A0F7700,8
52,hidenseek,A095C00,16
53,youlike,A0A6B00,7
54,mystery5,A0B6C00,14
55,tipsy,A0C6D00,50
56,tickleme,A0A7800,37
57,tiredfeet,A0B7900,29
58,needabreak,A0C7A00,26
59,wave1,A0D7B00,11
60,wave2,A0E7C00,18
61,applause,A0E7600,10
62,mystery6,A0E6F00,15
63,toosexy,A0F7D00,36
64,clink,A087E00,10
65,relax,A0B8000,32
66,soccer1,A0D8200,12
67,soccer2,A092B00,9
68,soccer3,A082A00,13
69,lift,A0C8100,19
70,Guardl,A093200,6
71,Guardr,A0A3300,9
72,doubleguard1,A0B3400,8
73,doubleguard2,A0C3500,8
74,dodgel,A0D3600,8
75,dodger,A0E3700,6
76,duck,A093800,7
77,swayback,A0A3900,5
78,upblock,A0B3A00,6
79,splits2,A0C3B00,21
80,comboblock,A0D3C00,20
81,zero,A0FCA00,23
82,homeposition,A0BD500,3
83,soundoff,A0CD303,5
84,affirm,A083F00,5
85,disagree,A0C4200,7
86,goodmorning,A0E4400,8
87,greet1,A0F4500,8
88,greet2,A094700,6
89,greet3,A0B4800,10
90,greet4,A0C4900,9
91,bye1,A0D4A00,8
92,bye2,A0E4B00,12
93,bye3,A0F4C00,14
94,bye4,A084D00,9
95,bye5,A084600,10
96,respect,A0D4300,6
97,thanks1,A094E00,8
98,thanks2,A0A4F00,5
99,love1,A0D5100,11
100,love2,A0E5200,10
101,love3,A0F5300,9
102,standupfront,A0E3D00,13
103,standupback,A0F3E00,17
104,excited1,A0B5700,8
105,excited2,A0D5800,14
106,excited3,A0E5900,16
107,excited4,A097100,7
108,party,A0A5600,13
109,amazed,A0B7300,11
110,regret1,A085B00,10
111,regret2,A0B5E00,19
112,regret3,A0C5F00,12
113,regret3,A0C5F00,12
114,countonme,A0E8300,9
115,articulation,A0F8400,24
116,showoff1,A088500,16
117,showoff2,A098600,26
118,showoff3,A0A8700,33
119,showoff4,A0C8800,25
120,cominthrough,A0D8900,21
121,catch,A0F5A00,7
122,pose1,A0BC700,25
123,pose2,A0DC800,10
124,pose3,A0EC900,9
125,mystery1,A0A7200,12
126,mystery2,A0C7400,9
127,mystery3,A0D7500,14
128,mystery4,A086200,8
129,forwardsomersault,A0E8A00,26
130,headstandexercises,A0F8B00,39
131,exercises,A088C00,46
132,airdrum,A098D00,45
133,airguitar,A0A8E00,65
134,randomperformance1,A0E9100,22
135,randomanimal,A099400,16
136,tropicaldance,A0C9700,60
137,giantrobot,A0E9800,37
138,western,A0F9900,48
139,randomperformance2,A099B00,13
