Rank,Command,Code (Hex),Time
0,forward,B29B703,3
1,backward,B2AB803,3
2,sideright,B2EBC03,3
3,sideleft,B2DBB03,4
4,fleft,B2BB903,4
5,fright,B2CBA03,3
6,bleft,B28BD03,3
7,bright,B29BE03,3
8,fclockwise,B2ABF03,4
9,fcounter,B2BC003,4
10,bclockwise,B2CC103,3
11,bcounter,B2DC203,3
12,headleft,B2ED707,3
13,headright,B2CD70C,3
14,leanforward,B2DD706,3
15,leanback,B28D701,5
16,lpunch,B2A1300,6
17,r12,B2E1700,9
18,lchop,B2A1900,7
19,sidechopl,B2F1E00,7
20,combopunch,B2E1D00,17
21,rpunch,B2B1400,5
22,rchop,B2B1A00,7
23,l12,B291800,7
24,sidechopr,B281F00,7
25,lbackhand,B2C1500,4
26,doublechop,B2C1B00,7
27,doublebackhand,B2B2100,7
28,slapping,B2A2000,9
29,rbackhand,B2D1600,5
30,upperchop,B2D1C00,7
31,roundhousel,B2C2200,7
32,roundhouser,B2D2300,6
33,forwardkickl,B2E2400,9
34,forwardkickr,B2F2500,8
35,sidekickl,B282600,7
36,roundhouselr,B2F2C00,11
37,forwardkicklr,B282D00,9
38,combokick,B292E00,18
39,sidekickr,B292700,7
40,backkickl,B2B2800,8
41,backkickr,B2C2900,9
42,highkickl,B2A2F00,7
43,worry,B2F5D00,12
44,pain1,B2C6100,7
45,highkickr,B2C3000,9
46,splits1,B2D3100,18
47,pain2,B2E6300,11
48,beg1,B2B6000,15
49,beg2,B2A6E00,33
50,merry,B2D7000,12
51,hilarious,B2C7700,8
52,hidenseek,B2E5C00,16
53,youlike,B2F6B00,7
54,mystery5,B286C00,14
55,tipsy,B296D00,50
56,tickleme,B2E7800,37
57,tiredfeet,B2F7900,29
58,needabreak,B287A00,26
59,wave1,B297B00,11
60,wave2,B2A7C00,18
61,applause,B2B7600,10
62,mystery6,B2B6F00,15
63,toosexy,B2B7D00,36
64,clink,B2C7E00,10
65,relax,B2F8000,32
66,soccer1,B298200,12
67,soccer2,B2E2B00,9
68,soccer3,B2D2A00,13
69,lift,B288100,19
70,Guardl,B2E3200,6
71,Guardr,B2F3300,9
72,doubleguard1,B283400,8
73,doubleguard2,B293500,8
74,dodgel,B2A3600,8
75,dodger,B2B3700,6
76,duck,B2D3800,7
77,swayback,B2E3900,5
78,upblock,B2F3A00,6
79,splits2,B283B00,21
80,comboblock,B293C00,20
81,zero,B2BCA00,23
82,homeposition,B2FD500,3
83,soundoff,B28D303,5
84,affirm,B2C3F00,5
85,disagree,B284200,7
86,goodmorning,B2A4400,8
87,greet1,B2B4500,8
88,greet2,B2D4700,6
89,greet3,B2F4800,10
90,greet4,B284900,9
91,bye1,B294A00,8
92,bye2,B2A4B00,12
93,bye3,B2B4C00,14
94,bye4,B2C4D00,9
95,bye5,B2C4600,10
96,respect,B294300,6
97,thanks1,B2D4E00,8
98,thanks2,B2E4F00,5
99,love1,B295100,11
100,love2,B2A5200,10
101,love3,B2B5300,9
102,standupfront,B2A3D00,13
103,standupback,B2B3E00,17
104,excited1,B2F5700,8
105,excited2,B2A5800,14
106,excited3,B2B5900,16
107,excited4,B2E7100,7
108,party,B2E5600,13
109,amazed,B287300,11
110,regret1,B2D5B00,10
111,regret2,B285E00,19
112,regret3,B295F00,12
113,regret3,B295F00,12
114,countonme,B2A8300,9
115,articulation,B2B8400,24
116,showoff1,B2C8500,16
117,showoff2,B2D8600,26
118,showoff3,B2E8700,33
119,showoff4,B288800,25
120,cominthrough,B298900,21
121,catch,B2C5A00,7
122,pose1,B2FC700,25
123,pose2,B29C800,10
124,pose3,B2AC900,9
125,mystery1,B2F7200,12
126,mystery2,B297400,9
127,mystery3,B2A7500,14
128,mystery4,B2D6200,8
129,forwardsomersault,B2A8A00,26
130,headstandexercises,B2B8B00,39
131,exercises,B2C8C00,46
132,airdrum,B2D8D00,45
133,airguitar,B2E8E00,65
134,randomperformance1,B2A9100,22
135,randomanimal,B2D9400,16
136,tropicaldance,B289700,60
137,giantrobot,B2B9800,37
138,western,B2C9900,48
139,randomperformance2,B2E9B00,13
