Rank,Command,Code (Hex),Time
150,forward,0DB703,3
151,backward,0EB803,3
152,sideright,0ABC03,3
153,sideleft,09BB03,4
154,fleft,0FB903,4
155,fright,08BA03,3
156,bleft,0CBD03,3
157,bright,0DBE03,3
158,fclockwise,0EBF03,4
159,fcounter,0FC003,4
160,bclockwise,08C103,3
161,bcounter,09C203,3
162,headleft,0DD707,3
163,headright,0BD70C,3
164,leanforward,0CD706,3
165,leanback,0FD701,5
166,lpunch,0E1300,6
167,r12,0A1700,9
168,lchop,0D1900,7
169,sidechopl,0A1E00,7
170,combopunch,091D00,17
171,rpunch,0F1400,5
172,rchop,0E1A00,7
173,l12,0C1800,7
174,sidechopr,0B1F00,7
175,lbackhand,81500,4
176,doublechop,0F1B00,7
177,doublebackhand,0E2100,7
178,slapping,0D2000,9
179,rbackhand,91600,5
180,upperchop,081C00,7
181,roundhousel,0F2200,7
182,roundhouser,82300,6
183,forwardkickl,92400,9
184,forwardkickr,0A2500,8
185,sidekickl,0B2600,7
186,roundhouselr,0A2C00,11
187,forwardkicklr,0B2D00,9
188,combokick,0C2E00,18
189,sidekickr,0C2700,7
190,backkickl,0E2800,8
191,backkickr,0F2900,9
192,highkickl,0D2F00,7
193,worry,0A5D00,12
194,pain1,0F6100,7
195,highkickr,0F3000,9
196,splits1,83100,18
197,pain2,96300,11
198,beg1,0E6000,15
199,beg2,0D6E00,33
200,merry,87000,12
201,hilarious,0F7700,8
202,hidenseek,095C00,16
203,youlike,0A6B00,7
204,mystery5,0B6C00,14
205,tipsy,0C6D00,50
206,tickleme,0A7800,37
207,tiredfeet,0B7900,29
208,needabreak,0C7A00,26
209,wave1,0D7B00,11
210,wave2,0E7C00,18
211,applause,0E7600,10
212,mystery6,0E6F00,15
213,toosexy,0F7D00,36
214,clink,8.70E+01,10
215,relax,0B8000,32
216,soccer1,0D8200,12
217,soccer2,092B00,9
218,soccer3,082A00,13
219,lift,0C8100,19
220,Guardl,93200,6
221,Guardr,0A3300,9
222,doubleguard1,0B3400,8
223,doubleguard2,0C3500,8
224,dodgel,0D3600,8
225,dodger,0E3700,6
226,duck,93800,7
227,swayback,0A3900,5
228,upblock,0B3A00,6
229,splits2,0C3B00,21
230,comboblock,0D3C00,20
231,zero,0FCA00,23
232,homeposition,0BD500,3
233,soundoff,0CD303,5
234,affirm,083F00,5
235,disagree,0C4200,7
236,goodmorning,0E4400,8
237,greet1,0F4500,8
238,greet2,94700,6
239,greet3,0B4800,10
240,greet4,0C4900,9
241,bye1,0D4A00,8
242,bye2,0E4B00,12
243,bye3,0F4C00,14
244,bye4,084D00,9
245,bye5,84600,10
246,respect,0D4300,6
247,thanks1,9.40E+01,8
248,thanks2,0A4F00,5
249,love1,0D5100,11
250,love2,0E5200,10
251,love3,0F5300,9
252,standupfront,0E3D00,13
253,standupback,0F3E00,17
254,excited1,0B5700,8
255,excited2,0D5800,14
256,excited3,0E5900,16
257,excited4,97100,7
258,party,0A5600,13
259,amazed,0B7300,11
260,regret1,085B00,10
261,regret2,0B5E00,19
262,regret3,0C5F00,12
263,regret3,0C5F00,12
264,countonme,0E8300,9
265,articulation,0F8400,24
266,showoff1,88500,16
267,showoff2,98600,26
268,showoff3,0A8700,33
269,showoff4,0C8800,25
270,cominthrough,0D8900,21
271,catch,0F5A00,7
272,pose1,0BC700,25
273,pose2,0DC800,10
274,pose3,0EC900,9
275,mystery1,0A7200,12
276,mystery2,0C7400,9
277,mystery3,0D7500,14
278,mystery4,86200,8
279,forwardsomersault,0E8A00,26
280,headstandexercises,0F8B00,39
281,exercises,088C00,46
282,airdrum,098D00,45
283,airguitar,0A8E00,65
284,randomperformance1,0E9100,22
285,randomanimal,99400,16
286,tropicaldance,0C9700,60
287,giantrobot,0E9800,37
288,western,0F9900,48
289,randomperformance2,099B00,13
